Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
HOISTING ENGINEER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.6
MANAGING DEPUTY COMMISSIONER - 41,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,179412,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
CONSTRUCTION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,48.9
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,45.68
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,F,SALARY,,65064,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,41.11
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,43884,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
WEB AUTHOR,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,84120,
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,84972,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
MOTOR TRUCK DRIVER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,45.68
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,46.37
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,149502,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
CONSTRUCTION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,48.9
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,F,SALARY,,75828,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LABORER - APPRENTICE,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,39.12
DIR OF ADMINISTRATION II,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,100476,
PROJECT COORD,DEPARTMENT OF BUILDINGS,F,SALARY,,100476,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,50460,
PAYMENT SERVICES REPRESENTATIVE,OFFICE OF CITY CLERK,F,SALARY,,84972,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,61380,
SUPERVISING CLERK,DEPARTMENT OF FINANCE,F,SALARY,,69912,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
WATER CHEMIST IV,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,122196,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,75588,
POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),CHICAGO POLICE DEPARTMENT,F,SALARY,,119994,
ONBOARDING SPECIALIST,DEPARTMENT OF HUMAN RESOURCES,F,SALARY,,60780,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
PLUMBER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,56.8
FIRST DEPUTY COMMISSIONER - 41,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,191004,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
QUALITY MGMT ANALYST - COPA,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,F,SALARY,,72072,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
OPERATING ENGINEER-GROUP A,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,57.38
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,102372,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,64332,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
ASST DIR,DEPARTMENT OF FINANCE,F,SALARY,,118128,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
SUPERVISING FIRE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,137280,
SUPERVISING VETERINARY TECHNICIAN,CHICAGO ANIMAL CARE AND CONTROL,F,SALARY,,88140,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,41940,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,46056,
MOTOR TRUCK DRIVER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,45.68
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,149502,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIREFIGHTER/PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,101262,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,48180,
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,41.11
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
TRAFFIC ENFORCEMENT TECH,DEPARTMENT OF FINANCE,F,SALARY,,41904,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,41.11
EXEC ADMINISTRATIVE ASST I,DEPARTMENT OF FINANCE,F,SALARY,,97668,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
ACCOUNTING TECHNICIAN,DEPARTMENT OF FINANCE,F,SALARY,,55392,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
DEPUTY COMMISSIONER,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,135084,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
AUDITOR III,DEPARTMENT OF FINANCE,F,SALARY,,122196,
CLERK IV,DEPARTMENT OF FINANCE,F,SALARY,,50460,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,97926,
ELECTRICAL MECHANIC,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,HOURLY,40,,53.8
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
SENIOR PERFORMANCE ANALYST,CHICAGO POLICE DEPARTMENT,F,SALARY,,80472,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
BATTALION CHIEF,CHICAGO FIRE DEPARTMENT,F,SALARY,,156396,
MANAGER OF VEHICLE MAINTENANCE,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,139056,
ELECTRONIC RESOURCES LIBRARIAN,CHICAGO PUBLIC LIBRARY,F,SALARY,,87600,
DIR OF ADMINISTRATION II,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,120960,
FIREFIGHTER,CHICAGO FIRE DEPARTMENT,F,SALARY,,99876,
ELECTRICAL MECHANIC,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,53.8
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,149502,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ADMINISTRATIVE ASST II,DEPARTMENT OF ADMINISTRATIVE HEARING,F,SALARY,,84972,
ACCOUNTING TECHNICIAN,DEPARTMENT OF FINANCE,F,SALARY,,63732,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,75588,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,124854,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,62466,
ONBOARDING SPECIALIST,DEPARTMENT OF HUMAN RESOURCES,F,SALARY,,60780,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
GENERAL LABORER - DSS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,24.91
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
DISTRICT MANAGER - HUMAN SERVICES,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,80628,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
LABORER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,48.9
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,F,SALARY,,104940,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
WARD SUPERINTENDENT,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,94992,
MANAGER OF FAMILY SUPPORT PROGRAMS,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,133524,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,93252,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARIAN II,CHICAGO PUBLIC LIBRARY,F,SALARY,,83436,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
EPIDEMIOLOGIST IV,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,103176,
EXEC ADMINISTRATIVE ASST II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,80628,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,48180,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
LANDSIDE OPERATION MANAGER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,74244,
CLINICAL THERAPIST III,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,87600,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
ELECTRICAL MECHANIC,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,53.8
STAFF ASST,DEPARTMENT OF BUILDINGS,F,SALARY,,102336,
CAPTAIN,CHICAGO FIRE DEPARTMENT,F,SALARY,,143076,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,130908,
DEPUTY COMMISSIONER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,152748,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
AVIATION SURVEILLANCE SPECIALIST,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,56172,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,97926,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,P,HOURLY,20,,22.04
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,124854,
GENERAL LABORER - DSS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,24.91
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
DETENTION AIDE,CHICAGO POLICE DEPARTMENT,F,SALARY,,74844,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
CONCRETE LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,48.9
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
INVESTIGATOR-COPA,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,F,SALARY,,76956,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
ASPHALT LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,44.01
AVIATION SURVEILLANCE SPECIALIST,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,56172,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,93342,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
DIR OF PROGRAM OPERATIONS X23,OFFICE OF CITY CLERK,F,SALARY,,107628,
SR TESTING / ASSESSMENT SPEC,DEPARTMENT OF HUMAN RESOURCES,F,SALARY,,112608,
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,78384,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,41940,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
ASST CHIEF AIRPORT OPERATIONS SUPVSR,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,148260,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,48180,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,149502,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,46056,
PROJECT MANAGER - BUILDINGS,DEPARTMENT OF BUILDINGS,F,SALARY,,96624,
FINGERPRINT TECHNICIAN II,CHICAGO POLICE DEPARTMENT,F,SALARY,,93252,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,102372,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
DETENTION AIDE,CHICAGO POLICE DEPARTMENT,F,SALARY,,68196,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,154074,
PROJECT COORD,DEPARTMENT OF HOUSING,F,SALARY,,70872,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,64332,
STAFF ASST,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,66684,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,115872,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
CITY PLANNER V,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,82752,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,93342,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,63420,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE ADMINISTRATIVE CLERK,CHICAGO POLICE DEPARTMENT,F,SALARY,,64332,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,60780,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
ASST PAYROLL ADMINISTRATOR,DEPARTMENT OF FINANCE,F,SALARY,,112260,
DIR OF PLANNING RESEARCH AND DEVELOPMENT,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,129936,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
OPERATING ENGINEER-GROUP A,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,57.38
AVIATION SECURITY SERGEANT,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,82728,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
